exerciseIds,timeStamp,completionTimestamps,exercises,__key__,__error__,__has_error__
"[1.30,2.19,1.49,1.09,1.31,1.63,1.17]",2022-06-25 18:26:37.828000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""v0EsgRlmJoZZoQn81kK5tM7nNNy1\"", \""weeklyExerciseLists\"", \""APAjlXspdjNkcIfuydEv\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""APAjlXspdjNkcIfuydEv"",
    ""id"": null
  }
}",[],false
"[1.27,1.31,1.16,1.24,1.116,1.49,1.72]",2022-06-29 13:35:13.821000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""xH0FHTDPOwWgHBQU7uuuEFJEfPx2\"", \""weeklyExerciseLists\"", \""1VEPtciZHK3E64JygJ2H\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""1VEPtciZHK3E64JygJ2H"",
    ""id"": null
  }
}",[],false
"[1.34,1.7,1.80,1.108,1.111,2.12,1.54,1.115,1.31]",2022-06-29 13:01:55.172000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""xH0FHTDPOwWgHBQU7uuuEFJEfPx2\"", \""weeklyExerciseLists\"", \""XhbE4EihhbYsjgjM5qkJ\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""XhbE4EihhbYsjgjM5qkJ"",
    ""id"": null
  }
}",[],false
"[2.44,1.28,2.55,1.24,1.116,1.35,1.72]",2022-06-29 13:35:01.291000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""xH0FHTDPOwWgHBQU7uuuEFJEfPx2\"", \""weeklyExerciseLists\"", \""f1vTMTj61k1ubQ6ts8mJ\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""f1vTMTj61k1ubQ6ts8mJ"",
    ""id"": null
  }
}",[],false
"[2.44,2.40,1.62,1.34,1.116,1.72,1.30,1.25]",2022-06-29 13:35:32.447000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""xH0FHTDPOwWgHBQU7uuuEFJEfPx2\"", \""weeklyExerciseLists\"", \""yBsrjm0r2ox1dSZbqYO0\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""yBsrjm0r2ox1dSZbqYO0"",
    ""id"": null
  }
}",[],false
"[2.15,1.18,1.36,1.29,2.23,1.10,1.17,1.68,1.33]",2022-08-12 05:34:46.211000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""zoje1EwaUjgfUVxUnwkSH2y2p6I2\"", \""weeklyExerciseLists\"", \""Hx9T3XpxF5i497DEfxoH\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""Hx9T3XpxF5i497DEfxoH"",
    ""id"": null
  }
}",[],false
"[1.51,1.74.7,2.52,2.25,2.58.3,2.8,2.60]",2021-12-05 23:00:00.000000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""IfLZ1xFo8UZhgUVmOxSDtcvtsS42\"", \""weeklyExerciseLists\"", \""TOFX51Lh1Xc6dZ16GJjV\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""TOFX51Lh1Xc6dZ16GJjV"",
    ""id"": null
  }
}",[],false
"[2.8.3,2.1,2.7.3,1.41,1.98]",2022-01-08 10:18:14.015000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""IiB5oXUuiMZaPtG7FZQll9WpoY43\"", \""weeklyExerciseLists\"", \""QTL0Pve4wJvx7f3MDgwz\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""QTL0Pve4wJvx7f3MDgwz"",
    ""id"": null
  }
}",[],false
"[1.60,1.57,2.36,1.104,1.108,1.22,1.17,1.113,1.92,1.104.1,1.104.2,1.104.3]",2022-02-12 13:25:43.493000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""IiB5oXUuiMZaPtG7FZQll9WpoY43\"", \""weeklyExerciseLists\"", \""m9Pmn9TB0zYIrTgkCDnR\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""m9Pmn9TB0zYIrTgkCDnR"",
    ""id"": null
  }
}",[],false
[2.8.3],2022-04-01 22:00:00.000000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""JWwoIvhhVzQBXU8kXiJea6XMvV63\"", \""weeklyExerciseLists\"", \""YfrYg7eNS9VgX21VBkex\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""YfrYg7eNS9VgX21VBkex"",
    ""id"": null
  }
}",[],false
"[1.33,1.83,1.29,1.69,1.08,2.19,1.66,1.90]",2022-05-31 10:23:49.546000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""JWwoIvhhVzQBXU8kXiJea6XMvV63\"", \""weeklyExerciseLists\"", \""zdZRgvZxadFfYLITCWSL\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""zdZRgvZxadFfYLITCWSL"",
    ""id"": null
  }
}",[],false
"[1.37,2.44,1.6,1.28,1.50,1.60,1.31]",2022-05-30 17:31:13.649000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""JswAeTwpF4VUaAniunU8Af4RzcI2\"", \""weeklyExerciseLists\"", \""CeyA8X7eKvzyJc9xGMGb\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""CeyA8X7eKvzyJc9xGMGb"",
    ""id"": null
  }
}",[],false
"[1.2,2.19,1.31,2.30,1.49,1.76,1.23]",2022-05-30 17:30:22.355000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""JswAeTwpF4VUaAniunU8Af4RzcI2\"", \""weeklyExerciseLists\"", \""wn1QUd5e519LDvjgSztY\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""wn1QUd5e519LDvjgSztY"",
    ""id"": null
  }
}",[],false
"[1.35,1.49,1.1,1.9,1.19,1.18,2.14]",2022-06-02 09:27:23.837000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""MDWRGDYnIUhAjoaIzU6wbims7Sg1\"", \""weeklyExerciseLists\"", \""OStmf6KR1RcvarBxFPWi\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""OStmf6KR1RcvarBxFPWi"",
    ""id"": null
  }
}",[],false
"[1.80.4,1.67.4,1.6,1.75.1,2.15]",2022-01-07 01:00:27.984000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""OBlazroEuYcITb2Mxw8EpBRBxSt1\"", \""weeklyExerciseLists\"", \""JhNNkViN1zgjxg6kRsAi\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""JhNNkViN1zgjxg6kRsAi"",
    ""id"": null
  }
}",[],false
"[1.49,2.23,1.29,2.2,2.19,1.31,1.54]",2022-06-21 14:00:25.455000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""PKjXONKLr7NEwg7J4nfubPVaQm82\"", \""weeklyExerciseLists\"", \""h4oMhcnOksGmBQh42HMt\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""h4oMhcnOksGmBQh42HMt"",
    ""id"": null
  }
}",[],false
"[1.36,2.5,1.06,1.33,2.8,1.63,1.10]",2022-04-20 17:58:40.335000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""PSl4qsv4clMY0YHqaZmQzMR4pi12\"", \""weeklyExerciseLists\"", \""0gdlQEdPqStVNOHiPIJf\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""0gdlQEdPqStVNOHiPIJf"",
    ""id"": null
  }
}",[],false
"[1.34,1.81,1.06,1.31,1.62,1.63,1.54,1.95]",2022-04-20 17:58:55.722000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""PSl4qsv4clMY0YHqaZmQzMR4pi12\"", \""weeklyExerciseLists\"", \""635owAWCmGl9kaQAcsik\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""635owAWCmGl9kaQAcsik"",
    ""id"": null
  }
}",[],false
"[1.69,1.74,1.6,1.31,1.63,1.10,1.29,1.76,1.58]",2022-04-20 17:59:38.224000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""PSl4qsv4clMY0YHqaZmQzMR4pi12\"", \""weeklyExerciseLists\"", \""AfW7ijeKuXq6UHQMN4H2\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""AfW7ijeKuXq6UHQMN4H2"",
    ""id"": null
  }
}",[],false
"[1.49,1.90,1.06,1.31,2.42,1.63,1.07,1.62,1.95]",2022-04-20 17:59:24.148000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""PSl4qsv4clMY0YHqaZmQzMR4pi12\"", \""weeklyExerciseLists\"", \""JcpOLlhCzzMh51hA90ut\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""JcpOLlhCzzMh51hA90ut"",
    ""id"": null
  }
}",[],false
"[1.36,2.12,1.06,2.14,1.28,1.63,2.29]",2022-04-20 17:59:05.122000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""PSl4qsv4clMY0YHqaZmQzMR4pi12\"", \""weeklyExerciseLists\"", \""KgVok0uYQhHJvT57a4NJ\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""KgVok0uYQhHJvT57a4NJ"",
    ""id"": null
  }
}",[],false
"[1.2,2.19,1.33,1.36,1.17,1.76,2.36,1.14]",2022-04-20 17:54:11.329000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""PSl4qsv4clMY0YHqaZmQzMR4pi12\"", \""weeklyExerciseLists\"", \""T08RSOGJeQIhIywxAzrU\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""T08RSOGJeQIhIywxAzrU"",
    ""id"": null
  }
}",[],false
"[1.37,1.62,1.06,1.33,1.19,1.63,1.60]",2022-04-20 17:54:47.636000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""PSl4qsv4clMY0YHqaZmQzMR4pi12\"", \""weeklyExerciseLists\"", \""UnZDH4n9SE7WmJChMOZv\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""UnZDH4n9SE7WmJChMOZv"",
    ""id"": null
  }
}",[],false
"[1.36,2.12,1.06,1.31,1.22,1.63,1.54,2.1]",2022-04-24 20:54:13.928000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""PSl4qsv4clMY0YHqaZmQzMR4pi12\"", \""weeklyExerciseLists\"", \""hREPIUmZR74niBuFCGgO\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""hREPIUmZR74niBuFCGgO"",
    ""id"": null
  }
}",[],false
"[1.35,1.73,1.6,1.31,1.14,1.63,1.65]",2022-04-20 17:58:23.922000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""PSl4qsv4clMY0YHqaZmQzMR4pi12\"", \""weeklyExerciseLists\"", \""pfyNySsgqjucxySgnhMb\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""pfyNySsgqjucxySgnhMb"",
    ""id"": null
  }
}",[],false
"[1.49,1.18,1.06,2.14,2.4,1.63,1.74,1.58]",2022-04-20 17:56:15.025000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""PSl4qsv4clMY0YHqaZmQzMR4pi12\"", \""weeklyExerciseLists\"", \""r0z9Rzo6118RDAFOC6E9\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""r0z9Rzo6118RDAFOC6E9"",
    ""id"": null
  }
}",[],false
"[2.15,1.49,1.76,2.8,1.38,1.06,1.17]",2022-06-26 09:06:01.904000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""STUeuf9wI4WlesemaJqItqCpB553\"", \""weeklyExerciseLists\"", \""89Lo620R35NgojVJBm6C\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""89Lo620R35NgojVJBm6C"",
    ""id"": null
  }
}",[],false
"[1.31,1.35,1.72,1.01,1.29,2.44,1.06]",2022-06-23 08:29:22.764000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""STUeuf9wI4WlesemaJqItqCpB553\"", \""weeklyExerciseLists\"", \""9ILZxviX6iNNdvDaZyBL\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""9ILZxviX6iNNdvDaZyBL"",
    ""id"": null
  }
}",[],false
"[1.31,1.36,1.59,2.38,1.53,1.19,1.73,1.38,1.14]",2022-06-20 11:04:43.349000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""STUeuf9wI4WlesemaJqItqCpB553\"", \""weeklyExerciseLists\"", \""GmeckS7TFYXsrsYcfsx1\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""GmeckS7TFYXsrsYcfsx1"",
    ""id"": null
  }
}",[],false
"[1.31,1.70,1.62,1.07,1.76,1.06,1.72,1.15,1.91]",2022-06-20 15:43:50.193000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""STUeuf9wI4WlesemaJqItqCpB553\"", \""weeklyExerciseLists\"", \""Q344uhQCVkJHH8yS7kXt\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""Q344uhQCVkJHH8yS7kXt"",
    ""id"": null
  }
}",[],false
"[1.33,1.37,2.55,2.38,1.53,1.17,2.51]",2022-06-20 23:10:12.329000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""STUeuf9wI4WlesemaJqItqCpB553\"", \""weeklyExerciseLists\"", \""wo6CHeETwxlNuupqRYt4\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""wo6CHeETwxlNuupqRYt4"",
    ""id"": null
  }
}",[],false
"[1.49,1.43.2,1.55,1.73.1,1.48]",2022-01-17 17:41:16.046000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""T942BvfXrDOpYC7HBzdh00sWbCm2\"", \""weeklyExerciseLists\"", \""7r5LI4qtkWIbSZGMO6vU\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""7r5LI4qtkWIbSZGMO6vU"",
    ""id"": null
  }
}",[],false
"[2.15,1.49,1.6,1.02,2.36,2.29,1.60]",2022-05-31 10:31:43.695000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""T942BvfXrDOpYC7HBzdh00sWbCm2\"", \""weeklyExerciseLists\"", \""9SCvdoBvKc2cG7flbvyL\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""9SCvdoBvKc2cG7flbvyL"",
    ""id"": null
  }
}",[],false
"[1.77,1.49,2.51,1.80.4,1.43.4,1.75.3,2.17.2]",2022-01-18 06:36:33.881000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""T942BvfXrDOpYC7HBzdh00sWbCm2\"", \""weeklyExerciseLists\"", \""9lAAGfFQJ5nzSxiIqaxK\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""9lAAGfFQJ5nzSxiIqaxK"",
    ""id"": null
  }
}",[],false
"[1.31,1.49,1.73,1.6,2.42,1.72,1.30,1.54,1.10,1.60]",2022-04-20 17:21:47.737000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""T942BvfXrDOpYC7HBzdh00sWbCm2\"", \""weeklyExerciseLists\"", \""CyApTxBJgv1GVYv9iKjN\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""CyApTxBJgv1GVYv9iKjN"",
    ""id"": null
  }
}",[],false
"[1.95,1.13,1.69,1.75.3,1.75.1]",2022-01-07 18:40:01.992000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""T942BvfXrDOpYC7HBzdh00sWbCm2\"", \""weeklyExerciseLists\"", \""ETqdSrsaK7NOrPuc6NiO\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""ETqdSrsaK7NOrPuc6NiO"",
    ""id"": null
  }
}",[],false
"[1.31,1.34,1.76,1.54,1.07,2.29,1.06,1.53,1.55]",2022-05-31 13:21:46.642000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""T942BvfXrDOpYC7HBzdh00sWbCm2\"", \""weeklyExerciseLists\"", \""KL9OCOjZiODlwtXbAC36\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""KL9OCOjZiODlwtXbAC36"",
    ""id"": null
  }
}",[],false
"[1.31,1.36,2.44,1.19,1.76,1.10,1.66]",2022-05-31 10:18:14.260000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""T942BvfXrDOpYC7HBzdh00sWbCm2\"", \""weeklyExerciseLists\"", \""UEW6eTAmh2lsbB9pCtd6\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""UEW6eTAmh2lsbB9pCtd6"",
    ""id"": null
  }
}",[],false
"[1.31,1.49,2.15,1.17,1.76,2.29,1.54,1.60]",2022-04-20 17:58:11.743000 UTC,"{
  ""completionTimestamps"": null
}","{
  ""exercises"": []
}","{
  ""__key__"": {
    ""namespace"": """",
    ""app"": ""e~mentalport-dev"",
    ""path"": ""\""users\"", \""T942BvfXrDOpYC7HBzdh00sWbCm2\"", \""weeklyExerciseLists\"", \""Up1CQWKaOifw1KtJjWnv\"""",
    ""kind"": ""weeklyExerciseLists"",
    ""name"": ""Up1CQWKaOifw1KtJjWnv"",
    ""id"": null
  }
}",[],false
