,Bez.,Sinnfindung,Burnout,Depression,Selbstbwusstsein,Beziehungsberatung,Selbstdisziplin,Motivation,Stressmanagement,Zeitaufwand,Trigger-Rating,Intensitt,Zweck,Kategorie,Tageszeit,Push-Meldung zur bung,bungsart/Durchfhrungsweise,Rational,Durchfhrbarkeit,Wirksamkeit,Verstndlichkeit,Hilfestellung,Qualitt-Ergebnis,Quelleinverifizierung 1,Besonderheiten,Filter-Ausschluss,Titel-Button,Titel,Quelle Ursprung,Beschreibung,Rational,Quelle Rational,Anweisungen,Material,HIlfestellung,Tabellen etc.,Anwendung,"Interkatives Element (Tabellen, Bilder, Audio, Video, Swipe-Bewegung um zB etwas zu lschen aus einer Tabelle, sonstiges Element was gut wre um die bung lebhaft + abwechslungsreich + animiert zu machen,..)",Farblegende
49,1.60,nein,nein,nein,ja,nein,ja,nein,ja,5-15,Schwach,Mittel,Wenn FOMO Effekt festgestellt wurde kann dieser mit der bung bekmpft werden,"Social Media, Perspektive, Selbstbeobachtung, Selbsterkenntnis, Selbstbewusstsein",alle,Fr 18 Tage das Gedankenjournal durchfhren. Erinnerung daran alle 2 Tage (also 9 mal).,imaginr,1,1,"0,5",1,1,"0,82",vorhanden,FOMO-Skala einbinden - Wir sollten feststellen ob der FOMO-Effekt zutrofft & dann daraufhin das in der bung enthaltene Gedankenjournal fr lngere Zeit etablieren wozu auch erinnert werden sollte.,,FOMO-Effekt ,FOMO-Effekt,"Kreutzer, R. T. (2020), Die digitale verfhrung. Selbstbestimmt leben trotz Smartphone, Social Media & Co.. Wiesbaden: Springer.","Der FOMO-Effekt steht fr Fear of Missing Out - also die Angst etwas zu verpassen. Effekt beschreibt die Angst von Menschen, dass irgendwo gerade ein interessantes oder spannendes Ereignis stattfindet, dass sie verpassen knnten.\n Bekrftigt durch Dopamin-Ausste (wir werden schnell abhngig von diesen) bei der Nutzung sozialer Medien, entsteht hufig der FOMO-Effekt bei Nutzern von sozialen Medien. Dadurch sind wir oft den ganzen Tag online.","Durch die kritische Hinterfragung, wie viel Wahrheit tatschlich hinter den Posts, die wir tglich sehen, steckt, distanzieren wir uns von dem Einfluss, den solche Eindrcke auf uns haben knnen. Wir realisieren dadurch mehr und mehr, dass das, was wir auf Social Media Plattformen so hufig sehen, nur in den seltensten Fllen der tatschlichen Lebensrealitt der Menschen entspricht. Somit knnen wir unangenehme Stresszustnde, die auf eine Angst, etwas zu verpassen, zurckgehen, reduzieren.","Kreutzer, R. T. (2020), Die digitale verfhrung. Selbstbestimmt leben trotz Smartphone, Social Media & Co.. Wiesbaden: Springer.","Das Phnomen Fear of missing out (FOMO) kann Dich sowohl bewusst als auch unterbewusst Stresszustnden aussetzen und zu Unzufriedenheit und depressiven Verstimmungen fhren. 
Um diesen FOMO-Effekt zu bekmpfen kann ein sogenanntes Reframing helfen, welches Du mit dem Fhren eines Gedankenjournals beginnen kannst: \n
Schritt 1: Erfasse, welche negativen Gedanken und Gefhle Du empfindest, wenn andere Nutzer:innen ber beneidenswerte Ausschnitte aus ihrem Leben berichten. Wie hast Du Dich bei Deiner letzten Nutzung von Social Media gefhlt? Achte beim nchsten mal auf Deine Gefhle, wenn Du social media nutzt. \n
Schritt 2: Dann beginnst Du, diese negativen Gedanken und Gefhle zu analysieren. Warum lsen diese Dinge negative Emotionen in Dir aus? In welcher Form schrnken Dich diese Gefhle ein? \n
Schritt 3: Dann folgt das eigentliche Reframing: Versuche, die aufgetauchten negativen Gedanken durch vernnftigere Gedanken zu ersetzen. Um diese zu finden, knnen Dir die folgenden Fragen weiterhelfen: \n
Bilden die Posts anderer Menschen, die du tglich siehst, tatschlich deren normalen Alltag wieder?
Inwieweit entspricht das, was Du in diesem Post siehst, tatschlich der Wahrheit? 
Welchen Preis muss diese Person wahrscheinlich dafr bezahlen, um ihr/sein Leben so wie in dem Post aussehen zu lassen? \n",-,"Mgliche Strategien, um unsere Social Media Aktivitten einzugrenzen:
Timer in Apps einstellen, ab dem die Apps gesperrt werden
eine alternative Beschftigung finden, die Du jedes mal dann ausfhrst, wenn Du eigentlich gerade soziale Medien nutzen wrdest (z.B. eine Nachrichten App)
jeden Abend prfen, wie viel Zeit Du mit sozialen Medien verbracht hast, um die nderungsmotivation zu steigern
ein Hintergrundbild einrichten, was Dich immer wieder an Dein Ziel (die Reduktion der Zeit, die du mit sozialen Medien verbringst) erinnert
",N/A,,-,
50,1.61,nein,ja,ja,ja,nein,nein,nein,nein,5 * 4,Schwach,Anfang,"Durch Aufschreiben von positiven Aspekten im Leben gewinnen diese an Bedeutung. Durch Reflexion & Selbstbeobachtung soll das Selbstbewusstsein gestrkt werden, da die positiven Aspekte in den Vordergrund gelangen","Tagebuch, Reflexion, Struktur, Fokus auf positive, freudige Aspekte, Perspektive",abends,Fr 5 Tage abends an dieses Tagebuch erinnern,praktisch,1,1,1,1,1,1,stammt von uns,Tagebuch,,Freudetagebuch ,Freudetagebuch ,"mentalport, 2021","Mit dieser bung knnen wir uns auf die positiven Dinge fokussieren und dadurch unser Selbstbewusstsein strken. Oftmals fhlen wir uns schlechter Verfassung. Dabei kann diese bung dazu beitragen, dass wir erkennen, wie viele positive Dinge es doch am Tag gab und uns dadurch besser fhlen.","Durch diese simple bung kann das Gehirn fr die Wahrnehmung positiver Ereignisse in der Umwelt trainiert und sensibilisiert werden. Dadurch werden die entsprechenden neuronalen Verbindungen gestrkt und es kann Dir schon bald viel leichter fallen, positiv zu denken - und positive Gedanken fhren zu positiven Gefhlen. Darber hinaus werden durch die Fokussierung auf schne Erlebnisse vermehrt Glckshormone ausgeschttet, die wiederum die chemischen Prozesse im Gehirn positiv beeinflussen und unsere Stimmungslage dauerhaft stabilisieren knnen.","Fordyce, M. W. (1983). A programm to increase happiness: Further studies. Journal of Counseling Psychology, 30, 483-498.","Schreibe Dir ber 5 Tage abends auf, was Dir an dem jeweiligen Tag Freude bereitet hat. Versuche dabei auch auf kleine Glcksmomente in Deinem Alltag zu achten; beispielsweise ein schnes Gesprch, ein nettes Lcheln oder auch einfach nur ein schner Blick aus dem Fenster. \n Lies Dir die Dinge nachdem du sie aufgeschrieben hast noch einmal aufmerksam durch und erinnere dich kurz mit geschlossenen Augen an jeden der positiven Momente des Tages zurck. \n",Optional - Stift und Papier,"Falls es Dir schwer fallen sollte, Dich abends noch an kleine schne Momente des Tages zu erinnern, versuche am nchsten Tag bereits tagsber kurz inne zu halten, sobald Du einen schnen Moment erlebst. Nimm all die positiven Emotionen aktiv wahr. Durch diese bewusstere Wahrnehmung schner Momente, werden sie Dir auch abends leichter in den Sinn kommen und Dir werden mehr und mehr positive Dinge in deinem Alltag auffallen. ",N/A,,-,
51,1.62,ja,nein,nein,ja,nein,ja,ja,nein,5-10,Schwach,Mittel,"Reflexion des Lebens, Entscheiden auf die wichtigsten Aspekte fr mehr Fokus, Klarheit, Ziele und Struktur um insgesamt Antrieb im Leben zu finden","Ziele, Struktur, Antrieb finden, Motivation",alle,Nach jeweils 7 Tagen insgesamt 2 mal an die sechs Worte erinnern,praktisch,1,1,"0,5",1,1,"0,82",vorhanden,,,Sechs-Wort-bung,Sechs-Wort-bung,"MP, 50","In dieser bung wirst Du nach sechs Worten gefragt, die Dein Leben grob zusammenfassen. Dies soll Dich dazu anregen darber nachzudenken, was Dir wichtig ist und Dich motiviert. ","Dadurch, dass wir unser Leben auf sechs Wrter herunterbrechen sollen, kristallisieren wir die Dinge im Leben heraus, die uns wirklich wichtig sind. Es kommt zu einem Perspektivwechsel von unserem alltglichen Leben hin zu bergeordneten Motiven und Werten. ","mentalport, 2021","Schritt 1: Versuche, Dein Leben nun wie in den folgenden Schritten beschrieben in jeweils sechs Wrtern zusammenzufassen. \n
Schritt 2: Versuche, mit jeweils sechs Wrtern Folgendes auszudrcken: (1) Handlungen - was ist Dir wichtig zu tun?  (2) Werte - welche sind Dir besonders wichtig? (3) Inspirationsquellen - was inspiriert Dich am meisten? und (4) Motivationsquellen - was motiviert Dich am meisten?",Stift & Papier,"Fang einfach mal an. Was kommt Dir zuerst in den Kopf? Vielleicht entwickelt sich daraus ja noch mehr. Ein paar Ideen: 
Handlungen: Freizeit, Arbeit, Familie, Drauen & Drinnen. Was tust Du?
Werte: Was ist Dir bei Anderen wichtig? Was sind No Gos? Was ist Dir bei Dir wichtig? Welche Eigenschaften schtzt Du besonders? 
Inspirationsquellen: Inspirieren Dich Personen oder Bcher? Kunst oder Musik? Natur, Tiere oder Kinder? 
Motivationsquellen: Was setzt Du Dir als Ziele? Was machst Du bis dahin, um durchzuhalten? Womit belohnst  Du Dich nach einer Aufgabe oder nach einem erfolgreichen Tag? Was machst Du in Pausen oder bevor Du anfngst? ",N/A,,-,
52,1.63,nein,ja,ja,ja,ja,nein,nein,nein,5 * 6,Mittel,Anfang,"Durch Aufschreiben von wertgeschtzten, positiven Aspekten im Leben gewinnen diese an Bedeutung. Durch Reflexion & Selbstbeobachtung soll das Selbstbewusstsein gestrkt werden, da die positiven Aspekte in den Vordergrund gelangen. Dankbarkeit","Tagebuch, Reflexion, Struktur, Fokus auf Wertschtzung, Liste wertschtzender Elemente, Dankbarkeit, Perspektive, Ressourcen",abends,Fr 5 Tage abends an dieses Tagebuch erinnern,praktisch,1,1,1,1,1,1,stammt von uns,"Tagebuch, Alternative 1.67.4",,Wertschtzungstagebuch,Wertschtzungstagebuch,"mentalport, 2021",Diese bung kann Dir dabei helfen Deinen Alltag wertschtzender zu beschreiten und so positive Denkmuster und mehr Selbstbewusstsein zu entwickeln.,"Vor Allem whrend stressigen Zeiten nehmen wir oft eher unsere Schwierigkeiten und Probleme war, nicht aber die positiven Dinge, die wir erlebt und geleistet haben. Durch das abendliche Reflektieren ber solch positive Erfahrungen und Erfolge, werden uns diese bewusster, wodurch wir unser Selbstbewusstsein strken und wieder mehr Vertrauen in unsere eigenen Fhigkeiten gewinnen knnen.
","Fordyce, M. W. (1983). A programm to increase happiness: Further studies. Journal of Counseling Psychology, 30, 483-498.","Schreibe Dir fr die nchsten fnf Tage am Ende jedes Tages Deine Antworten auf die folgenden Fragen auf:
Was waren schne Momente, die Ich heute erlebt habe?
Welche positiven Emotionen habe ich heute empfunden?
Was war der Ursprung dieser positiven Gefhle?
Wofr bin Ich heute dankbar? \n
Schreibe Deine Gedanken Momenten und Situationen des Tages auf, fr die Du dankbar bist. Notieren schne Worte, ein gutes Feedback, ein freundliches Lcheln oder auch was Du schnes gegessen hast. Halte all die Erfahrungen des Tages fest, die Du wertschtzt. \n
",Optional - Stift und Papier,"Falls es Dir schwer fallen sollte, Dich abends noch an kleine schne Momente und/oder Erfolge des Tages zu erinnern, versuche am nchsten Tag bereits tagsber kurz inne zu halten, sobald Du einen schnen Moment oder einen Erfolg erlebst. Nimm all die positiven Emotionen aktiv wahr. Durch diese bewusstere Wahrnehmung werden Dir deine tagsber erlebten Erfolge und schnen Momente abends leichter in den Sinn kommen. Dir werden so mehr und mehr positive Dinge in deinem Alltag auffallen.",N/A,,-,
53,1.64,nein,ja,nein,nein,nein,nein,nein,ja,5,Schwach,Anfang,"Stresslinderung und Entspannung durch krperliche Aktivitt, mehr Selbstbewusstsein durch niedrigeren Cortisol- und hheren Testosteronspiegel.","Stresslinderung, Entspannung, krperliche Aktivitt, Selbstbewusstsein",alle,Nein,krperlich,1,1,2,1,0,"1,32",vorhanden,,,Kobra-Haltung,Kobra-Haltung,"Yesil, N. (2019): Knack Dein Gehirn fr Deinen Erfolg!, Springer, Berlin",Diese krperliche bung kann Deinen Stress mindern und Dir durch die Strkung Deines Krpergefhls zu neuem Selbstbewusstsein verhelfen. ,"Krperhaltungen knnen sich auf die Hormonproduktion unseres Krpers und damit auf unser Wohlbefinden auswirken. Durch diese bung wird die Menge an Stresshormonen in unserem Krper verringert, wodurch unser Stressempfinden sinkt und unser Selbstwertgefhl gestrkt werden kann. Im Rahmen einer Studie wurde acht Proband:innen die Kobra-Haltung beigebracht, welche diese zwei bis drei Minuten beibehalten mussten. Jeweils vor und unmittelbar nach der bung wurden Blutproben entnommen. Und siehe da: Das Stresshormon Cortisol sank bei allen Probandinnen und Probanden um 11 %, whrend der Testosteronwert (wichtig fr Selbstbewusstsein und Dominanz) um 16 % anstieg (Minvaleev et al. 2004).",Minvaleev et al. 2004,"Begebe Dich fr diese bung an einen ruhigen Ort und nimm Dir eine Unterlage (zum Beispiel eine Sportmatte oder ein Handtuch) zur Hand. Befolge nun die nchsten Schritte. 
1. Lege Dich mit dem Bauch nach unten auf Deine Unterlage und lege die Stirn ab. \n
2. Sttze deine Hnde unter Deinen Schultern seitlich neben Deinem Krper auf, sodass Deine Ellenbogen spitz nach hinten und oben zeigen.
3. Atme hier ein paar Mal tief ein und langsam wieder aus. Schliee gerne Deine Augen. \n
4. Nun hebe Deinen Oberkrper langsam vom Boden ab, whrend Du Deine Arme vermehrt streckst. Dein Scheitel und Dein Brustbein streben nach oben, Deine Schulterbltter ziehen zusammen und nach unten. Spre, wie deine Brust sich ffnet. 
5. Atme hier tief ein. ziehe dabei Dein Brustbein noch weiter nach oben. \n
6. Nun atme langsam aus. Presse dabei Dein Schambein aktiv in den Boden und entspanne Deine Bein- und Pomuskulatur. 
7. Lege Deinen Kopf mit der nchsten Einatmung in den Nacken und schaue zur Decke, der Mund ist leicht geffnet, die Atmung fliet. Bleibe fr mindestens 7 Atemzge in der Haltung. \n
8. Zum Auflsen senke Deinen Oberkrper langsam und lege Deine Stirn wieder entspannt auf der Matte ab. \n",,Bild,N/A,,Bild fr Hilfestellung,
54,1.65,ja,nein,nein,ja,nein,nein,nein,nein,20-30,Mittel,Anfang,"Reflexion und Betrachtung der Erinnerungen um positive Aspekte im Leben bzw. Erfolge herauszufiltern. Dadurch soll klar werden, was bereits alles geschafft wurde, wodurch Selbstwirksamkeit & Selbstbewusstsein steigen sollen.","Reflexion, Erinnerungs-Betrachtung, Erfolge, Selbstbewusstsein, Ressourcen",abends,"Immer wieder unregelmig erinnern - Rhythmus 2, 5, 3, 4, 2 Wochen",praktisch,1,1,1,1,1,1,stammt von uns,,,Meine Erfolge,Meine Erfolge,"mentalport, 2021","Diese bung kann Dir dabei helfen, Dir ber Deine Strken und Erfolge bewusst zu werden und so Dein Selbstbewusstsein zu strken. ","Die Bewusstwerdung ber unsere vergangenen Erfolge und unsere positiven Eigenschaften und Fhigkeiten knnen als Fundament unseres Selbstvertrauens dienen. So werden kleine Misserfolge, die uns in unserem Alltag begegnen, in Perspektive gerckt und sind weniger dazu in der Lage, unser Selbstvertrauen zu schmlern.",Tim hat keinen Zugriff,"Erstelle Dir eine Liste aller Situationen, in denen Du im Leben ber Dich hinaus gewachsen bist. Starte dabei ruhig bei Deinen Kindheitserinnerungen. Was ist Dir bereits als Kind gut gelungen? 
Welche Erfolge hast Du bereits erlebt? Betrachte dafr die unterschiedlichsten Lebensbereiche; Deine Freizeit, Deine Karriere, Ausbildung und Beruf, Deine Hobbies, Deine zwischenmenschlichen Beziehungen wie Familie und Freunde. \n
Setze Dich dabei nicht unter Druck. Gib Dir Zeit, darber zu reflektieren, welche Erfolge und Fhigkeiten Dich in Deinem Leben positiv begleitet haben. Du kannst Deine Liste auch begleitend zu Deinem Alltag fhren. Jedes Mal, wenn Dir einer Deiner Erfolge bewusst wird, schreibe sie gleich auf die Liste Deiner Erfolge. \n
Lies Dir Deine Liste gelegentlich Abends vor dem Schlafen gehen durch. Du wirst schon bald merken, wie Dein Selbstbewusstsein wchst und Du dich sicherer fhlst. \n",Optional - Stift und Papier,"Falls es Dir schwer fllt, Deine bisherigen Erfolge zu rekonstruieren stelle Dir folgende Fragen:
Wie genau bist Du in deiner Ausbildung/Karriere an den Punkt gekommen, an dem Du gerade stehst?
Welche Eigenschaften wertschtzen die Menschen um Dich herum an Dir? 
Erinnere Dich an einen Abschnitt Deines Lebens, der hart fr Dich war. Wie hast du es geschafft von dort an den Punkt zu kommen, an dem Du Dich aktuell befindest?
Welche Aktivitten machen Dir wirklich Spa? Meist sind es die Dinge, fr die wir aus unserem Inneren heraus brennen, in denen wir fr uns selbst immer wieder kleine Erfolge erleben.
",N/A,,"Tabelle zum ausfllen mit 5 Spalten, button um weitere Zeilen manuell hinzuzufgen",
55,1.66,nein,ja,ja,ja,nein,nein,nein,nein,5 * 6,Schwach,Anfang," Durch Aufschreiben von positiven Aspekten & kleinen Erfolgen im Leben gewinnen diese an Bedeutung. Durch Reflexion & Selbstbeobachtung soll das Selbstbewusstsein gestrkt werden, da die positiven Aspekte in den Vordergrund gelangen
","Tagebuch, Reflexion, Struktur, Fokus auf Erfolge, Liste an Erfolgen, Perspektive, Ressourcen",abends,Fr 5 Tage abends an dieses Tagebuch erinnern,praktisch,1,1,1,1,1,1,stammt von uns,Alternative zu 1.63,,Erfolgstagebuch,Erfolgstagebuch,"mentalport, 2021","Diese bung kann Dir helfen, Dir ber Deine eigenen kleinen Erfolge, die es immer wieder im Alltag gibt, bewusster zu werden und so Dein Selbstwertgefhl zu strken.","Dein Erfolgstagebuch ist ein Instrument aktiver Psychohygiene: Indem Du Dich jeden Tag bewusst fragst, welche Erfolge und guten Erlebnisse Du hattest, wird Deine Aufmerksamkeit automatisch mehr auf Deine Strken gerichtet. Darber hinaus ist unsere Motivation, uns mit unseren Vorstzen und Zielen zu beschftigen, hher, wenn wir wissen, dass wir unser Handeln abends protokollieren. ","Fordyce, M. W. (1983). A programm to increase happiness: Further studies. Journal of Counseling Psychology, 30, 483-498.","Fhre fr die Umsetzung dieser bung fnf Tage lang jeden Abend eine Erfolgstagebuch; notiere all die kleinen und/oder groen Etappen-Erfolge, die Du an dem Tag erreicht hast.
Um zu lernen auch kleine Erfolge als solche zu erkennen, stelle dir Abends folgende Fragen: \n
1. Was habe Ich heute gut gemacht?
2. Wann habe ich heute positive Emotionen empfunden?
3. Welche meiner positiven Eigenschaften kam in dieser Situation zum tragen oder, welche meiner negativen Eigenschaften konnte ich in dieser Situation ablegen? \n
4. Was lief heute gut und war ein guter Moment an diesem Tag?
5. Worin wrde ich mich gerne verbessern?
6. Wofr bin ich heute dankbar? \n",Optional - Stift und Papier,"Falls es Dir schwer fallen sollte, Dich abends noch an kleine schne Momente und/oder Erfolge des Tages zu erinnern, versuche am nchsten Tag bereits tagsber kurz inne zu halten, sobald Du einen schnen Moment oder einen Erfolg erlebst. Nimm all die positiven Emotionen aktiv wahr. Durch diese bewusstere Wahrnehmung werden Dir deine tagsber erlebten Erfolge und schnen Momente abends leichter in den Sinn kommen. Dir werden so mehr und mehr positive Dinge in deinem Alltag auffallen.",N/A,,Jede Frage mit eigenem Textfeld,
56,1.67,nein,nein,nein,ja,nein,ja,ja,ja,5-10,Schwach,Anfang,"Die bung soll trainieren eine Perspektive eines Auenstehenden einzunehmen, um in Situationen in denen sich Gedanken im Kreis drehen eine Ausweg gefunden werden bzw. ein Instrument an der Hand sein kann.","Reflexion, Perspektive, Training Instrument",alle,Nein,praktisch,1,1,"0,5",1,1,"0,82",stammt von uns,,,Auenperspektive,Auenperspektive,"MP, 50","Diese bung soll Dir dabei helfen, Deine aktuelle Situation und Deine Probleme aus einem neuen Blickwinkel zu betrachten und so neue Lsungsanstze und Perspektiven zu entwickeln.","Durch die Einnahme der Perspektive eines Auenstehenden knnen wir Antworten auf Fragen finden, die wir uns bisher nie gestellt haben. So knnen wir einen neuen Blickwinkel auf unsere aktuelle Situation und unsere Probleme gewinnen, wodurch sich uns neue Lsungswege erffnen knnen.","mentalport, 2021","Diese bung hilft Dir in Situationen, in denen Du das das Gefhl hast, Deine Gedanken drehen sich im Kreis und Du findest keine sinnvolle Lsung fr Dein aktuelles Problem. Folge in solchen Situationne den folgenden Schritten. \n
Schritt 1: Stelle Dir dazu vor, Du wrdest als auenstehende und unwissende Person an Dich selbst herantreten. Stelle Dir selbst dabei all die Fragen, die eine auenstehende Person stellen msste, um Deine Situation zu verstehen. Das knnten beispielsweise die folgenden Fragen sein: \n
Wie bist Du in die Situation, in der Du Dich gerade befindest, gekommen?
Warum belastet Dich die Situation?
Was scheint Dir an der Situation nicht nderbar zu sein, sodass sie Dir belastend erscheint?
Warum denkst Du, dass Du diese Dinge nicht ndern kannst?
Wie wrdest Du Dich fhlen, wenn Du mgliche nderungen vornimmst?
Was wren weitere Fragen, die ein Auenstehender stellen wrde, um Deine Situation zu verstehen?
\n
Schritt 2: Notiere Dir dabei alle Antworten, die Dir in den Sinn kommen. Wenn Du nun die Antworten betrachtest - wie erscheint Dein Problem aus der Perspektive der auenstehenden Person?",Stift & Papier,"Stelle Dir Die Fragen, die Dir in Deiner Situation relevant erscheinen, aber auch solche, Die ein Auenstehender stellen msste, um Deine Situation berhaupt verstehen zu knnen.",N/A,,-,
57,1.68,nein,ja,nein,ja,nein,nein,nein,nein,5-10,Schwach,Anfang,"Die bung soll trainieren eine neue Perspektive einzunehmen, indem aus gewohnten Routinen ausgebrochen wird um eine andere Sicht auf den Alltag zu erhalten","Reflexion, Perspektive, Neue Dinge versuchen",alle,nach Start in 24 h 2 mal erinnern auer von 1-7 Uhr,praktisch,1,1,"0,5",1,1,"0,82",vorhanden,,,Neue Wege ,Neue Wege ,"MP, 50","In dieser bung geht es darum, alltgliche Dinge in neuem Licht zu betrachten um so mehr Positivitt in Dein Leben zu bringen. ","Neue Wege verndern die Perspektive und bringen neue Ideen und oft neue Lsungen hervor. Auerdem knnen neue Wege Deine Motivation verbessern, zum Beispiel, wenn dadurch Situationen in einem anderen Licht betrachtet werden. Du kannst Deine Sinne nutzen, um mehr im Alltglichen zu erleben. Du kannst das Hier & Jetzt mehr genieen und Routinen neu betrachten.","mentalport, 2021","Schritt 1: Lass Deine Fantasie schweifen: Was sind Dinge, die Du schon immer mal ausprobieren wolltest? Geh sie einfach mal an. Mach mal was Verrcktes oder etwas, was womglich gar nicht in Dein Selbstbild passt. Vielleicht findest Du ja neues ber Dich heraus. \n 

Schritt 2: Setze Dir fr die Umsetzung einen konkreten Zeitpunkt in der kommenden Woche fest. \n

Schritt 3: berlege zustzlich, was fr Kleinigkeiten Du im Alltag mal anders machen knntest. Welche Gewohnheiten wrdest Du gerne wie beim ersten Mal neu erleben oder auch verndern? \n

Diese Vorschlge knnten Dir dabei als kleine Ideengeber dienen:
ndere Deinen Ablauf am Morgen. 
Esse etwas anderes  zum Frhstck. 
Entscheide Dich fr einen neuen  Kleidungsstil. 
Nimm einen anderen Weg zur Arbeit. 
Behandle Deine Kollegen anders. 
Stelle Mbel in Deinem Zuhause oder auf Deiner Arbeit um. 
Esse in der Mittagspause etwas Ungewhnliches. 
berlege Dir etwas, was Deine Kollegen nicht von Dir wissen, und erzhle es ihnen. 
Lade Deine:n Partner:in  zu etwas Romantischem oder etwas Ungewhnlichem ein. 
Mach etwas Mutiges, zum Beispiel eine fremde Person anlcheln. 
Verbringe einen abenteuerlichen Tag mit Freunden, vielleicht am See oder auf dem Fahrrad. 
Beobachte den Sonnenuntergang oder Sonnenaufgang. 
Bade, wsche oder dusche mit geschlossenen Augen und spre Deinen Krper.
",-,"Wenn Du in unseren Anregungen noch nichts gefunden hast, sind hier noch ein paar Stichpunkte, die Dir vielleicht bei der Suche nach Ideen helfen knnten: Ess-, Schlaf-, Trinkgewohnheiten, Hobbies, Ausflge, Reisen, Wohnung, Arbeit, Sport. Transportmittel, Spiele, Freunde. Gibt es einen hierei einen  Bereich, indem Du Dir frischen Wind wnschst? ",N/A,,-,
58,1.69,nein,ja,ja,ja,nein,nein,nein,nein,7-10,Schwach,Fortgeschritten,"hemmende Denk- und Verhaltensweisen lsen, genderte Denkmuster integrieren","Glaubensstze, hemmende Denk- und Verhaltensweisen lsen, Verhaltensnderung",alle,Erinnerung an die neuen Denkmuster fr 3 Wochen alle 5 Tage um 12 Uhr (ab Folgetag),praktisch,1,1,2,1,1,"1,36",vorhanden,,,Lebensfragen,Positive Lebensfragen,47,"In dieser bung geht es darum, negative Lebensfragen in konstruktive Fragen umzuwandeln. ","Diese bung basiert auf der Kognitiven Verhaltenstherapie, die fr viele psychologische Probleme wirksam ist. Die Wirkung von dieser bungen ist wissenschaftlich wie klinisch vielfach erfolgreich belegt. Ziel ist es, hemmende Denk- und Verhaltensweisen zu lindern, sowie Menschen dazu anzuleiten, Probleme durch genderte Denkmuster selbst zu lsen.","APA Div. 12 (Society of Clinical Psychology), July 2017","Schritt 1: Lies Dir zunchst die folgenden Beispiele fr Lebensfragen durch: Warum haben sich meine Eltern nicht um mich gekmmert? Warum durfte ich nicht studieren? Warum konnten meine Eltern mir nicht die Chancen geben, die andere Kinder hatten? Warum gerate ich immer an den falschen Partner? Warum werde ich von anderen immer nur ausgenutzt? \n 
Schritt 2: Frage Dich nun, welche dieser oder hnlicher Fragen Dir in Deinem Alltag auch hufig in den Kopf kommen. \n 
Schritt 3: Versuche nun, Deine Lebensfragen so umzuwandeln, dass sie positiv und konstruktiv sind. Dies knnte beispielsweise so aussehen: 
\n
Lebensfrage: Warum haben sich meine Eltern nicht um mich gekmmert?
Positive Umformulierung: Was habe ich vom Umgang meiner Eltern mit mir gelernt,  so dass ich mit meiner Familie und meinen Freunden heute anders umgehe?
Lebensfrage: Warum werde ich von anderen immer nur ausgenutzt?
Positive Umformulierung: Wie gestalte ich meine Beziehung zu anderen so, dass ein gegenseitiges Geben und Nehmen entsteht?
\n
berlege nun, wie Du Deine Fragen in gleicher Weise positiv abwandeln kannst.",Stift & Papier,"Themenbeispiele sind Ausbildung, Familie, Beziehungen, Schicksalsschlge o. . ber welche Bereiche Deines Lebens bist Du traurig oder unzufrieden? Kannst Du eine Lehre aus diesen Themen ziehen? Inwiefern hast Du es spter besser gehandhabt? Versuche Dir Dich selbst zu erklren.",N/A,,-,
59,1.70,nein,ja,ja,ja,nein,nein,nein,ja,5,Schwach,Mittel,positive Denkmuster direkt am Morgen schon etablieren,"Glaubensstze, positive Denkmuster etablieren, Fragenentwicklung, Struktur, Ressourcen, Perspektive",morgens,Erinnerung an die neuen Denkmuster/Frage fr 5 Tage um 9 Uhr (ab Folgetag),praktisch,1,1,2,1,1,"1,36",vorhanden,,,Tagesstart,Positiver Tagesstart,47,"Diese bung soll Dir dabei helfen, mit einem positiven Gefhl in Deinen Tag zu starten. ",Positive und optimistische Denkmuster zu entwickeln kann erwiesenermaen das mentale Wohlbefinden und das Glcksempfinden steigern.,"Fordyce, M. W. (1983). A programm to increase happiness: Further studies. Journal of Counseling Psychology, 30, 483-498.","Schritt 1: Notiere Dir nach dem Aufwachen Deine Antworten auf folgende Fragen. \n 
Worauf freue ich mich heute am meisten? 
Welche Chancen habe ich heute? 
Wofr kann ich und will ich heute dankbar sein? 
Wem kann ich heute eine Freude machen? 
Was kann ich heute lernen? 
Wie kann ich heute in die Beziehung zu den Menschen investieren, die mir am meisten bedeuten? \n
Schritt 2: Beantworte Diese Fragen im Laufe der nchsten Woche jeden Morgen nach dem Aufwachen. Eine andere Mglichkeit wre es, nur eine oder zwei Fragen zu beantworten, die sich fr Dich gut anfhlen. ",Stift & Papier,"Konzentriere Dich auf Positives. Dankbarkeit fr die kleinen Dinge, kann Dir das Leben versen. Versuche auch, direkt nach dem Aufwachen aufzustehen und Dein Handy zunchst nicht zu benutze. Maximale Produktivitt kannst Du mit einer sportlichen Aktivitt am Morgen erreichen. Wie wre es gleich morgen frh damit?",N/A,,-,
